Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,246.111115,254.355560,238.922226,251.100006,247.656860,35632913
2021-06-15,251.666672,253.277771,241.944443,247.222229,243.832245,18453875
2021-06-16,244.949997,246.555557,231.672226,233.433334,230.232437,25144857
2021-06-17,235.694443,243.188889,235.694443,241.394440,238.084381,18490316
2021-06-18,242.883331,252.888885,242.883331,250.000000,246.571945,28080075
2021-06-21,251.000000,253.277771,244.566666,251.555557,248.106171,21748165
2021-06-22,250.100006,252.216660,244.566666,250.127777,246.697952,15924609
2021-06-23,252.266663,262.227783,250.833328,260.250000,256.681366,22402258
2021-06-24,262.850006,263.822235,256.672211,259.611115,256.051270,16583842
2021-06-25,262.777771,265.000000,255.000000,264.572235,260.944366,17919961
2021-06-28,264.566681,279.433319,260.172211,274.388885,270.626373,26359068
2021-06-29,285.361115,288.666656,280.122223,282.505554,278.631775,27612324
2021-06-30,282.783325,301.111115,276.666656,297.111115,293.037048,26020227
2021-07-01,298.222229,300.000000,287.783325,294.166656,290.132935,20384460
2021-07-02,291.183319,297.311096,283.144440,288.661102,284.702911,24969092
2021-07-05,286.111115,293.711121,282.261108,288.483337,284.659088,25832698
2021-07-06,288.888885,300.538879,278.838898,286.238892,282.444397,32499972
2021-07-07,288.888885,301.388885,281.738892,301.388885,297.393555,32662243
2021-07-08,306.105560,317.500000,301.466675,310.644440,306.526398,28582221
2021-07-09,310.549988,310.549988,296.972229,303.266663,299.246460,28189314
2021-07-12,308.950012,320.555542,308.950012,314.327789,310.160950,27857361
2021-07-13,311.111115,322.000000,306.666656,312.783325,308.636963,24546717
2021-07-14,308.333344,312.155548,300.555542,306.316681,302.256042,22658167
2021-07-15,302.777771,316.044434,300.583344,315.555542,311.372406,24720024
2021-07-16,315.000000,315.000000,293.405548,295.000000,291.089386,32129087
2021-07-19,300.000000,300.933319,286.666656,290.833344,286.977936,32423301
2021-07-20,286.111115,299.594452,286.111115,293.355560,289.466736,23400984
2021-07-21,294.455566,308.933319,292.227783,308.766663,304.673523,32768839
2021-07-22,309.222229,313.161102,303.161102,309.488892,305.386200,19590478
2021-07-23,308.333344,313.327789,303.333344,303.894440,299.865906,16799171
2021-07-26,302.222229,307.183319,290.277771,299.877777,295.902496,22912164
2021-07-27,301.677765,310.661102,275.000000,275.000000,271.354492,32122859
2021-07-28,275.555542,296.277771,275.555542,291.694458,287.827637,39104537
2021-07-29,303.333344,309.855560,293.888885,309.333344,305.232697,33516448
2021-07-30,313.888885,323.444458,300.000000,305.777771,301.724274,36325823
2021-08-02,309.444458,319.438873,296.044434,306.666656,302.601379,32935102
2021-08-03,308.333344,308.888885,290.555542,295.000000,291.089386,22028954
